start,end,type
79,22,WORKS_FOR
80,44,WORKS_FOR
81,12,WORKS_FOR
82,4,WORKS_FOR
83,35,WORKS_FOR
84,7,WORKS_FOR
85,43,WORKS_FOR
86,30,WORKS_FOR
87,2,WORKS_FOR
88,38,WORKS_FOR
89,11,WORKS_FOR
90,13,WORKS_FOR
91,31,WORKS_FOR
92,4,WORKS_FOR
93,28,WORKS_FOR
94,21,WORKS_FOR
95,21,WORKS_FOR
96,45,WORKS_FOR
97,42,WORKS_FOR
98,32,WORKS_FOR
99,41,WORKS_FOR
100,17,WORKS_FOR
101,16,WORKS_FOR
102,36,WORKS_FOR
103,31,WORKS_FOR
104,41,WORKS_FOR
105,7,WORKS_FOR
106,14,WORKS_FOR
107,8,WORKS_FOR
108,44,WORKS_FOR
109,12,WORKS_FOR
110,35,WORKS_FOR
111,20,WORKS_FOR
112,6,WORKS_FOR
113,14,WORKS_FOR
114,39,WORKS_FOR
115,30,WORKS_FOR
116,8,WORKS_FOR
117,14,WORKS_FOR
118,44,WORKS_FOR
119,35,WORKS_FOR
120,4,WORKS_FOR
121,1,WORKS_FOR
122,24,WORKS_FOR
123,21,WORKS_FOR
124,37,WORKS_FOR
125,21,WORKS_FOR
126,1,WORKS_FOR
127,14,WORKS_FOR
128,46,WORKS_FOR
129,37,WORKS_FOR
130,44,WORKS_FOR
131,10,WORKS_FOR
132,40,WORKS_FOR
133,45,WORKS_FOR
134,15,WORKS_FOR
135,1,WORKS_FOR
136,7,WORKS_FOR
137,23,WORKS_FOR
138,43,WORKS_FOR
139,29,WORKS_FOR
140,42,WORKS_FOR
141,42,WORKS_FOR
142,23,WORKS_FOR
143,28,WORKS_FOR
144,14,WORKS_FOR
145,3,WORKS_FOR
146,41,WORKS_FOR
147,46,WORKS_FOR
148,38,WORKS_FOR
149,42,WORKS_FOR
150,34,WORKS_FOR
151,44,WORKS_FOR
152,8,WORKS_FOR
153,16,WORKS_FOR
154,44,WORKS_FOR
155,22,WORKS_FOR
156,20,WORKS_FOR
157,15,WORKS_FOR
158,35,WORKS_FOR
159,9,WORKS_FOR
160,31,WORKS_FOR
161,7,WORKS_FOR
162,10,WORKS_FOR
163,30,WORKS_FOR
164,13,WORKS_FOR
165,26,WORKS_FOR
166,39,WORKS_FOR
167,27,WORKS_FOR
168,45,WORKS_FOR
169,43,WORKS_FOR
170,26,WORKS_FOR
171,21,WORKS_FOR
172,12,WORKS_FOR
173,35,WORKS_FOR
174,12,WORKS_FOR
175,7,WORKS_FOR
176,2,WORKS_FOR
177,38,WORKS_FOR
178,27,WORKS_FOR
179,33,WORKS_FOR
180,25,WORKS_FOR
181,29,WORKS_FOR
182,4,WORKS_FOR
183,29,WORKS_FOR
184,14,WORKS_FOR
185,25,WORKS_FOR
186,19,WORKS_FOR
187,5,WORKS_FOR
188,10,WORKS_FOR
189,9,WORKS_FOR
190,2,WORKS_FOR
191,25,WORKS_FOR
192,9,WORKS_FOR
193,20,WORKS_FOR
194,20,WORKS_FOR
195,44,WORKS_FOR
196,9,WORKS_FOR
197,15,WORKS_FOR
198,37,WORKS_FOR
199,33,WORKS_FOR
200,13,WORKS_FOR
201,35,WORKS_FOR
202,17,WORKS_FOR
203,41,WORKS_FOR
204,30,WORKS_FOR
205,37,WORKS_FOR
206,3,WORKS_FOR
207,28,WORKS_FOR
208,16,WORKS_FOR
209,9,WORKS_FOR
210,1,WORKS_FOR
211,35,WORKS_FOR
212,26,WORKS_FOR
213,7,WORKS_FOR
214,25,WORKS_FOR
215,24,WORKS_FOR
216,40,WORKS_FOR
217,10,WORKS_FOR
218,25,WORKS_FOR
219,16,WORKS_FOR
220,24,WORKS_FOR
221,37,WORKS_FOR
222,23,WORKS_FOR
223,31,WORKS_FOR
224,33,WORKS_FOR
225,30,WORKS_FOR
226,17,WORKS_FOR
227,38,WORKS_FOR
228,36,WORKS_FOR
229,35,WORKS_FOR
230,9,WORKS_FOR
231,32,WORKS_FOR
232,19,WORKS_FOR
233,27,WORKS_FOR
234,4,WORKS_FOR
235,43,WORKS_FOR
236,23,WORKS_FOR
237,4,WORKS_FOR
238,19,WORKS_FOR
239,30,WORKS_FOR
240,23,WORKS_FOR
241,45,WORKS_FOR
242,11,WORKS_FOR
243,15,WORKS_FOR
244,42,WORKS_FOR
245,43,WORKS_FOR
246,44,WORKS_FOR
247,2,WORKS_FOR
248,22,WORKS_FOR
249,43,WORKS_FOR
250,12,WORKS_FOR
251,13,WORKS_FOR
252,8,WORKS_FOR
253,40,WORKS_FOR
254,24,WORKS_FOR
255,22,WORKS_FOR
256,15,WORKS_FOR
257,16,WORKS_FOR
258,15,WORKS_FOR
259,22,WORKS_FOR
260,22,WORKS_FOR
261,40,WORKS_FOR
262,46,WORKS_FOR
263,40,WORKS_FOR
264,40,WORKS_FOR
265,21,WORKS_FOR
266,29,WORKS_FOR
267,34,WORKS_FOR
268,43,WORKS_FOR
269,21,WORKS_FOR
270,5,WORKS_FOR
271,23,WORKS_FOR
272,22,WORKS_FOR
273,36,WORKS_FOR
274,30,WORKS_FOR
275,1,WORKS_FOR
276,45,WORKS_FOR
277,30,WORKS_FOR
278,1,WORKS_FOR
279,15,WORKS_FOR
280,20,WORKS_FOR
281,28,WORKS_FOR
282,4,WORKS_FOR
283,31,WORKS_FOR
284,15,WORKS_FOR
285,17,WORKS_FOR
286,1,WORKS_FOR
287,35,WORKS_FOR
288,19,WORKS_FOR
289,8,WORKS_FOR
290,24,WORKS_FOR
291,29,WORKS_FOR
292,30,WORKS_FOR
293,33,WORKS_FOR
294,23,WORKS_FOR
295,44,WORKS_FOR
296,3,WORKS_FOR
297,11,WORKS_FOR
298,32,WORKS_FOR
299,25,WORKS_FOR
300,31,WORKS_FOR
301,36,WORKS_FOR
302,18,WORKS_FOR
303,16,WORKS_FOR
304,38,WORKS_FOR
305,22,WORKS_FOR
306,20,WORKS_FOR
307,27,WORKS_FOR
308,24,WORKS_FOR
309,7,WORKS_FOR
310,24,WORKS_FOR
311,12,WORKS_FOR
312,1,WORKS_FOR
313,18,WORKS_FOR
314,42,WORKS_FOR
315,41,WORKS_FOR
316,35,WORKS_FOR
317,6,WORKS_FOR
318,2,WORKS_FOR
319,36,WORKS_FOR
320,28,WORKS_FOR
321,3,WORKS_FOR
322,37,WORKS_FOR
323,17,WORKS_FOR
324,13,WORKS_FOR
325,35,WORKS_FOR
326,15,WORKS_FOR
327,24,WORKS_FOR
328,42,WORKS_FOR
329,5,WORKS_FOR
330,16,WORKS_FOR
331,33,WORKS_FOR
332,29,WORKS_FOR
333,45,WORKS_FOR
334,2,WORKS_FOR
335,28,WORKS_FOR
336,21,WORKS_FOR
337,42,WORKS_FOR
338,32,WORKS_FOR
339,3,WORKS_FOR
340,4,WORKS_FOR
341,2,WORKS_FOR
342,6,WORKS_FOR
343,7,WORKS_FOR
344,30,WORKS_FOR
345,40,WORKS_FOR
346,46,WORKS_FOR
347,28,WORKS_FOR
348,37,WORKS_FOR
349,27,WORKS_FOR
350,33,WORKS_FOR
351,18,WORKS_FOR
352,21,WORKS_FOR
353,20,WORKS_FOR
354,7,WORKS_FOR
355,42,WORKS_FOR
356,19,WORKS_FOR
357,36,WORKS_FOR
358,13,WORKS_FOR
359,25,WORKS_FOR
360,27,WORKS_FOR
361,31,WORKS_FOR
362,4,WORKS_FOR
363,11,WORKS_FOR
364,14,WORKS_FOR
365,13,WORKS_FOR
366,30,WORKS_FOR
367,40,WORKS_FOR
368,6,WORKS_FOR
369,33,WORKS_FOR
370,30,WORKS_FOR
371,30,WORKS_FOR
372,32,WORKS_FOR
373,17,WORKS_FOR
374,45,WORKS_FOR
375,18,WORKS_FOR
376,5,WORKS_FOR
377,28,WORKS_FOR
378,3,WORKS_FOR
379,7,WORKS_FOR
380,38,WORKS_FOR
381,46,WORKS_FOR
382,20,WORKS_FOR
383,12,WORKS_FOR
384,36,WORKS_FOR
385,14,WORKS_FOR
386,21,WORKS_FOR
387,2,WORKS_FOR
388,16,WORKS_FOR
389,6,WORKS_FOR
390,44,WORKS_FOR
391,19,WORKS_FOR
392,34,WORKS_FOR
393,2,WORKS_FOR
394,27,WORKS_FOR
395,10,WORKS_FOR
396,41,WORKS_FOR
397,17,WORKS_FOR
398,19,WORKS_FOR
399,10,WORKS_FOR
400,28,WORKS_FOR
401,5,WORKS_FOR
402,1,WORKS_FOR
403,33,WORKS_FOR
404,39,WORKS_FOR
405,29,WORKS_FOR
406,41,WORKS_FOR
407,42,WORKS_FOR
408,6,WORKS_FOR
409,13,WORKS_FOR
410,41,WORKS_FOR
411,5,WORKS_FOR
412,45,WORKS_FOR
413,17,WORKS_FOR
414,16,WORKS_FOR
415,11,WORKS_FOR
416,33,WORKS_FOR
417,7,WORKS_FOR
418,41,WORKS_FOR
419,11,WORKS_FOR
420,3,WORKS_FOR
421,42,WORKS_FOR
422,38,WORKS_FOR
423,21,WORKS_FOR
424,22,WORKS_FOR
425,28,WORKS_FOR
426,16,WORKS_FOR
427,23,WORKS_FOR
428,12,WORKS_FOR
429,37,WORKS_FOR
430,29,WORKS_FOR
431,27,WORKS_FOR
432,44,WORKS_FOR
433,15,WORKS_FOR
434,11,WORKS_FOR
435,26,WORKS_FOR
436,46,WORKS_FOR
437,44,WORKS_FOR
438,16,WORKS_FOR
439,9,WORKS_FOR
440,41,WORKS_FOR
441,8,WORKS_FOR
442,26,WORKS_FOR
443,29,WORKS_FOR
444,11,WORKS_FOR
445,29,WORKS_FOR
446,32,WORKS_FOR
447,29,WORKS_FOR
448,2,WORKS_FOR
449,31,WORKS_FOR
450,2,WORKS_FOR
451,30,WORKS_FOR
452,29,WORKS_FOR
453,2,WORKS_FOR
454,1,WORKS_FOR
455,5,WORKS_FOR
456,19,WORKS_FOR
457,1,WORKS_FOR
458,42,WORKS_FOR
459,32,WORKS_FOR
460,2,WORKS_FOR
461,2,WORKS_FOR
462,4,WORKS_FOR
463,14,WORKS_FOR
464,16,WORKS_FOR
465,42,WORKS_FOR
466,35,WORKS_FOR
467,4,WORKS_FOR
468,19,WORKS_FOR
469,25,WORKS_FOR
470,15,WORKS_FOR
471,7,WORKS_FOR
472,43,WORKS_FOR
473,3,WORKS_FOR
474,5,WORKS_FOR
475,16,WORKS_FOR
476,31,WORKS_FOR
477,5,WORKS_FOR
478,26,WORKS_FOR
479,8,WORKS_FOR
480,17,WORKS_FOR
481,15,WORKS_FOR
482,7,WORKS_FOR
483,12,WORKS_FOR
484,26,WORKS_FOR
485,28,WORKS_FOR
486,44,WORKS_FOR
487,9,WORKS_FOR
488,41,WORKS_FOR
489,42,WORKS_FOR
490,32,WORKS_FOR
491,11,WORKS_FOR
492,13,WORKS_FOR
493,8,WORKS_FOR
494,18,WORKS_FOR
495,41,WORKS_FOR
496,39,WORKS_FOR
497,22,WORKS_FOR
498,7,WORKS_FOR
499,42,WORKS_FOR
500,26,WORKS_FOR
501,15,WORKS_FOR
502,28,WORKS_FOR
503,16,WORKS_FOR
504,1,WORKS_FOR
505,34,WORKS_FOR
506,44,WORKS_FOR
507,41,WORKS_FOR
508,16,WORKS_FOR
509,36,WORKS_FOR
510,39,WORKS_FOR
511,29,WORKS_FOR
512,10,WORKS_FOR
513,1,WORKS_FOR
514,13,WORKS_FOR
515,42,WORKS_FOR
516,11,WORKS_FOR
517,29,WORKS_FOR
518,21,WORKS_FOR
519,16,WORKS_FOR
520,17,WORKS_FOR
521,42,WORKS_FOR
522,32,WORKS_FOR
523,4,WORKS_FOR
524,45,WORKS_FOR
525,44,WORKS_FOR
526,7,WORKS_FOR
527,29,WORKS_FOR
528,34,WORKS_FOR
529,44,WORKS_FOR
530,12,WORKS_FOR
531,40,WORKS_FOR
532,11,WORKS_FOR
533,19,WORKS_FOR
534,41,WORKS_FOR
535,45,WORKS_FOR
536,40,WORKS_FOR
537,19,WORKS_FOR
538,43,WORKS_FOR
539,34,WORKS_FOR
540,4,WORKS_FOR
541,19,WORKS_FOR
542,38,WORKS_FOR
543,1,WORKS_FOR
544,15,WORKS_FOR
545,42,WORKS_FOR
546,17,WORKS_FOR
547,35,WORKS_FOR
548,38,WORKS_FOR
549,46,WORKS_FOR
550,7,WORKS_FOR
551,21,WORKS_FOR
552,35,WORKS_FOR
553,19,WORKS_FOR
554,12,WORKS_FOR
555,15,WORKS_FOR
556,41,WORKS_FOR
557,22,WORKS_FOR
558,20,WORKS_FOR
559,29,WORKS_FOR
560,42,WORKS_FOR
561,46,WORKS_FOR
562,10,WORKS_FOR
563,44,WORKS_FOR
564,25,WORKS_FOR
565,44,WORKS_FOR
566,37,WORKS_FOR
567,38,WORKS_FOR
568,9,WORKS_FOR
569,16,WORKS_FOR
570,34,WORKS_FOR
571,35,WORKS_FOR
572,24,WORKS_FOR
573,31,WORKS_FOR
574,7,WORKS_FOR
575,45,WORKS_FOR
576,16,WORKS_FOR
577,4,WORKS_FOR
578,36,WORKS_FOR
579,46,WORKS_FOR
580,42,WORKS_FOR
581,41,WORKS_FOR
582,46,WORKS_FOR
583,8,WORKS_FOR
584,7,WORKS_FOR
585,6,WORKS_FOR
586,12,WORKS_FOR
587,21,WORKS_FOR
588,7,WORKS_FOR
589,17,WORKS_FOR
590,36,WORKS_FOR
591,31,WORKS_FOR
592,17,WORKS_FOR
593,10,WORKS_FOR
594,39,WORKS_FOR
595,38,WORKS_FOR
596,20,WORKS_FOR
597,35,WORKS_FOR
598,44,WORKS_FOR
599,9,WORKS_FOR
600,14,WORKS_FOR
601,28,WORKS_FOR
602,37,WORKS_FOR
603,18,WORKS_FOR
604,45,WORKS_FOR
605,34,WORKS_FOR
606,29,WORKS_FOR
607,35,WORKS_FOR
608,25,WORKS_FOR
609,21,WORKS_FOR
610,33,WORKS_FOR
611,34,WORKS_FOR
612,39,WORKS_FOR
613,43,WORKS_FOR
614,2,WORKS_FOR
615,3,WORKS_FOR
616,24,WORKS_FOR
617,10,WORKS_FOR
618,29,WORKS_FOR
619,35,WORKS_FOR
620,4,WORKS_FOR
621,8,WORKS_FOR
622,29,WORKS_FOR
623,28,WORKS_FOR
624,26,WORKS_FOR
625,37,WORKS_FOR
626,9,WORKS_FOR
627,32,WORKS_FOR
628,25,WORKS_FOR
629,6,WORKS_FOR
630,6,WORKS_FOR
631,37,WORKS_FOR
632,27,WORKS_FOR
633,33,WORKS_FOR
634,3,WORKS_FOR
635,24,WORKS_FOR
636,4,WORKS_FOR
637,25,WORKS_FOR
638,11,WORKS_FOR
639,40,WORKS_FOR
640,2,WORKS_FOR
641,2,WORKS_FOR
642,10,WORKS_FOR
643,31,WORKS_FOR
644,42,WORKS_FOR
645,33,WORKS_FOR
646,8,WORKS_FOR
647,23,WORKS_FOR
648,12,WORKS_FOR
649,33,WORKS_FOR
650,41,WORKS_FOR
651,4,WORKS_FOR
652,17,WORKS_FOR
653,35,WORKS_FOR
654,44,WORKS_FOR
655,31,WORKS_FOR
656,23,WORKS_FOR
657,2,WORKS_FOR
658,12,WORKS_FOR
659,27,WORKS_FOR
660,25,WORKS_FOR
661,8,WORKS_FOR
662,35,WORKS_FOR
663,40,WORKS_FOR
664,2,WORKS_FOR
665,38,WORKS_FOR
666,31,WORKS_FOR
667,23,WORKS_FOR
668,26,WORKS_FOR
669,37,WORKS_FOR
670,14,WORKS_FOR
671,21,WORKS_FOR
672,20,WORKS_FOR
673,21,WORKS_FOR
674,11,WORKS_FOR
675,15,WORKS_FOR
676,31,WORKS_FOR
677,16,WORKS_FOR
678,21,WORKS_FOR
679,34,WORKS_FOR
680,7,WORKS_FOR
681,43,WORKS_FOR
682,35,WORKS_FOR
683,30,WORKS_FOR
684,17,WORKS_FOR
685,14,WORKS_FOR
686,32,WORKS_FOR
687,5,WORKS_FOR
688,23,WORKS_FOR
689,43,WORKS_FOR
690,28,WORKS_FOR
691,38,WORKS_FOR
692,19,WORKS_FOR
693,20,WORKS_FOR
694,20,WORKS_FOR
695,37,WORKS_FOR
696,39,WORKS_FOR
697,45,WORKS_FOR
698,13,WORKS_FOR
699,20,WORKS_FOR
700,17,WORKS_FOR
701,25,WORKS_FOR
702,11,WORKS_FOR
703,27,WORKS_FOR
704,32,WORKS_FOR
705,10,WORKS_FOR
706,2,WORKS_FOR
707,3,WORKS_FOR
708,42,WORKS_FOR
709,37,WORKS_FOR
710,35,WORKS_FOR
711,14,WORKS_FOR
712,30,WORKS_FOR
713,28,WORKS_FOR
714,41,WORKS_FOR
715,30,WORKS_FOR
716,2,WORKS_FOR
717,42,WORKS_FOR
718,15,WORKS_FOR
719,29,WORKS_FOR
720,36,WORKS_FOR
721,42,WORKS_FOR
722,37,WORKS_FOR
723,18,WORKS_FOR
724,22,WORKS_FOR
725,45,WORKS_FOR
726,1,WORKS_FOR
727,10,WORKS_FOR
728,23,WORKS_FOR
729,16,WORKS_FOR
730,32,WORKS_FOR
731,20,WORKS_FOR
732,26,WORKS_FOR
733,19,WORKS_FOR
734,32,WORKS_FOR
735,42,WORKS_FOR
736,32,WORKS_FOR
737,30,WORKS_FOR
738,4,WORKS_FOR
739,37,WORKS_FOR
740,11,WORKS_FOR
741,31,WORKS_FOR
742,3,WORKS_FOR
743,26,WORKS_FOR
744,14,WORKS_FOR
745,23,WORKS_FOR
746,41,WORKS_FOR
747,2,WORKS_FOR
748,13,WORKS_FOR
749,32,WORKS_FOR
750,15,WORKS_FOR
751,3,WORKS_FOR
752,10,WORKS_FOR
753,43,WORKS_FOR
754,2,WORKS_FOR
755,3,WORKS_FOR
756,36,WORKS_FOR
757,38,WORKS_FOR
758,9,WORKS_FOR
759,11,WORKS_FOR
760,41,WORKS_FOR
761,32,WORKS_FOR
762,1,WORKS_FOR
763,1,WORKS_FOR
764,10,WORKS_FOR
765,19,WORKS_FOR
766,34,WORKS_FOR
767,6,WORKS_FOR
768,1,WORKS_FOR
769,18,WORKS_FOR
770,32,WORKS_FOR
771,11,WORKS_FOR
772,46,WORKS_FOR
773,4,WORKS_FOR
774,33,WORKS_FOR
775,34,WORKS_FOR
776,3,WORKS_FOR
777,33,WORKS_FOR
778,6,WORKS_FOR
779,11,WORKS_FOR
780,41,WORKS_FOR
781,11,WORKS_FOR
782,32,WORKS_FOR
783,5,WORKS_FOR
784,4,WORKS_FOR
785,18,WORKS_FOR
786,22,WORKS_FOR
787,2,WORKS_FOR
788,32,WORKS_FOR
789,14,WORKS_FOR
790,23,WORKS_FOR
791,36,WORKS_FOR
792,37,WORKS_FOR
793,25,WORKS_FOR
794,8,WORKS_FOR
795,34,WORKS_FOR
796,24,WORKS_FOR
797,41,WORKS_FOR
798,41,WORKS_FOR
799,21,WORKS_FOR
800,11,WORKS_FOR
801,1,WORKS_FOR
802,27,WORKS_FOR
803,20,WORKS_FOR
804,15,WORKS_FOR
805,37,WORKS_FOR
806,12,WORKS_FOR
807,18,WORKS_FOR
808,15,WORKS_FOR
809,19,WORKS_FOR
810,25,WORKS_FOR
811,29,WORKS_FOR
812,22,WORKS_FOR
813,8,WORKS_FOR
814,25,WORKS_FOR
815,28,WORKS_FOR
816,26,WORKS_FOR
817,7,WORKS_FOR
818,36,WORKS_FOR
819,42,WORKS_FOR
820,2,WORKS_FOR
821,17,WORKS_FOR
822,44,WORKS_FOR
823,40,WORKS_FOR
824,25,WORKS_FOR
825,35,WORKS_FOR
826,20,WORKS_FOR
827,26,WORKS_FOR
828,4,WORKS_FOR
829,19,WORKS_FOR
830,18,WORKS_FOR
831,5,WORKS_FOR
832,16,WORKS_FOR
833,25,WORKS_FOR
834,6,WORKS_FOR
835,15,WORKS_FOR
836,31,WORKS_FOR
837,27,WORKS_FOR
838,6,WORKS_FOR
839,44,WORKS_FOR
840,25,WORKS_FOR
841,25,WORKS_FOR
842,20,WORKS_FOR
843,43,WORKS_FOR
844,23,WORKS_FOR
845,9,WORKS_FOR
846,9,WORKS_FOR
847,45,WORKS_FOR
848,39,WORKS_FOR
849,31,WORKS_FOR
850,21,WORKS_FOR
851,34,WORKS_FOR
852,4,WORKS_FOR
853,10,WORKS_FOR
854,13,WORKS_FOR
855,1,WORKS_FOR
856,37,WORKS_FOR
857,46,WORKS_FOR
858,28,WORKS_FOR
859,22,WORKS_FOR
860,17,WORKS_FOR
861,41,WORKS_FOR
862,46,WORKS_FOR
863,17,WORKS_FOR
864,36,WORKS_FOR
865,35,WORKS_FOR
866,36,WORKS_FOR
867,9,WORKS_FOR
868,23,WORKS_FOR
869,37,WORKS_FOR
870,44,WORKS_FOR
871,27,WORKS_FOR
872,40,WORKS_FOR
873,2,WORKS_FOR
874,41,WORKS_FOR
875,13,WORKS_FOR
876,16,WORKS_FOR
877,10,WORKS_FOR
878,11,WORKS_FOR
879,15,WORKS_FOR
880,25,WORKS_FOR
881,41,WORKS_FOR
882,18,WORKS_FOR
883,18,WORKS_FOR
884,16,WORKS_FOR
885,13,WORKS_FOR
886,44,WORKS_FOR
887,21,WORKS_FOR
888,45,WORKS_FOR
889,42,WORKS_FOR
890,24,WORKS_FOR
891,16,WORKS_FOR
892,33,WORKS_FOR
893,12,WORKS_FOR
894,15,WORKS_FOR
895,3,WORKS_FOR
896,33,WORKS_FOR
897,23,WORKS_FOR
898,1,WORKS_FOR
899,10,WORKS_FOR
900,13,WORKS_FOR
901,33,WORKS_FOR
902,45,WORKS_FOR
903,44,WORKS_FOR
904,23,WORKS_FOR
905,29,WORKS_FOR
906,6,WORKS_FOR
907,17,WORKS_FOR
908,28,WORKS_FOR
909,27,WORKS_FOR
910,6,WORKS_FOR
911,34,WORKS_FOR
912,7,WORKS_FOR
913,11,WORKS_FOR
914,40,WORKS_FOR
915,15,WORKS_FOR
916,24,WORKS_FOR
917,14,WORKS_FOR
918,45,WORKS_FOR
919,25,WORKS_FOR
920,37,WORKS_FOR
921,32,WORKS_FOR
922,8,WORKS_FOR
923,4,WORKS_FOR
924,8,WORKS_FOR
925,27,WORKS_FOR
926,39,WORKS_FOR
927,3,WORKS_FOR
928,2,WORKS_FOR
929,25,WORKS_FOR
930,46,WORKS_FOR
931,44,WORKS_FOR
932,6,WORKS_FOR
933,33,WORKS_FOR
934,11,WORKS_FOR
935,10,WORKS_FOR
936,22,WORKS_FOR
937,31,WORKS_FOR
938,1,WORKS_FOR
939,13,WORKS_FOR
940,12,WORKS_FOR
941,8,WORKS_FOR
942,14,WORKS_FOR
943,37,WORKS_FOR
944,32,WORKS_FOR
945,36,WORKS_FOR
946,32,WORKS_FOR
947,41,WORKS_FOR
948,25,WORKS_FOR
949,10,WORKS_FOR
950,45,WORKS_FOR
951,45,WORKS_FOR
952,27,WORKS_FOR
953,38,WORKS_FOR
954,5,WORKS_FOR
955,23,WORKS_FOR
956,43,WORKS_FOR
957,10,WORKS_FOR
958,11,WORKS_FOR
959,16,WORKS_FOR
960,29,WORKS_FOR
961,25,WORKS_FOR
962,42,WORKS_FOR
963,4,WORKS_FOR
964,41,WORKS_FOR
965,30,WORKS_FOR
966,46,WORKS_FOR
967,11,WORKS_FOR
968,46,WORKS_FOR
969,21,WORKS_FOR
970,8,WORKS_FOR
971,46,WORKS_FOR
972,46,WORKS_FOR
973,32,WORKS_FOR
974,17,WORKS_FOR
975,14,WORKS_FOR
976,40,WORKS_FOR
977,11,WORKS_FOR
978,34,WORKS_FOR
979,40,WORKS_FOR
980,6,WORKS_FOR
981,36,WORKS_FOR
982,17,WORKS_FOR
983,44,WORKS_FOR
984,40,WORKS_FOR
985,11,WORKS_FOR
986,18,WORKS_FOR
987,15,WORKS_FOR
988,9,WORKS_FOR
989,40,WORKS_FOR
990,3,WORKS_FOR
991,24,WORKS_FOR
992,12,WORKS_FOR
993,3,WORKS_FOR
994,2,WORKS_FOR
995,46,WORKS_FOR
996,26,WORKS_FOR
997,15,WORKS_FOR
998,23,WORKS_FOR
999,15,WORKS_FOR
1000,25,WORKS_FOR
1001,10,WORKS_FOR
1002,4,WORKS_FOR
1003,35,WORKS_FOR
1004,18,WORKS_FOR
1005,31,WORKS_FOR
1006,26,WORKS_FOR
1007,10,WORKS_FOR
1008,37,WORKS_FOR
1009,11,WORKS_FOR
1010,28,WORKS_FOR
1011,44,WORKS_FOR
1012,33,WORKS_FOR
1013,30,WORKS_FOR
1014,1,WORKS_FOR
1015,26,WORKS_FOR
1016,24,WORKS_FOR
1017,21,WORKS_FOR
1018,14,WORKS_FOR
1019,37,WORKS_FOR
1020,28,WORKS_FOR
1021,24,WORKS_FOR
1022,16,WORKS_FOR
1023,5,WORKS_FOR
1024,22,WORKS_FOR
1025,40,WORKS_FOR
1026,17,WORKS_FOR
1027,43,WORKS_FOR
1028,22,WORKS_FOR
1029,7,WORKS_FOR
1030,38,WORKS_FOR
1031,10,WORKS_FOR
1032,36,WORKS_FOR
1033,22,WORKS_FOR
1034,3,WORKS_FOR
1035,22,WORKS_FOR
1036,29,WORKS_FOR
1037,36,WORKS_FOR
1038,19,WORKS_FOR
1039,34,WORKS_FOR
1040,44,WORKS_FOR
1041,42,WORKS_FOR
1042,27,WORKS_FOR
1043,33,WORKS_FOR
1044,31,WORKS_FOR
1045,8,WORKS_FOR
1046,37,WORKS_FOR
1047,2,WORKS_FOR
1048,42,WORKS_FOR
1049,3,WORKS_FOR
1050,25,WORKS_FOR
1051,33,WORKS_FOR
1052,18,WORKS_FOR
1053,46,WORKS_FOR
1054,19,WORKS_FOR
1055,35,WORKS_FOR
1056,36,WORKS_FOR
1057,30,WORKS_FOR
1058,3,WORKS_FOR
1059,11,WORKS_FOR
1060,44,WORKS_FOR
1061,1,WORKS_FOR
1062,28,WORKS_FOR
1063,1,WORKS_FOR
1064,22,WORKS_FOR
1065,16,WORKS_FOR
1066,24,WORKS_FOR
1067,8,WORKS_FOR
1068,45,WORKS_FOR
1069,10,WORKS_FOR
